ref,pred
"You should discuss your pet ’s training with your parents and be sure it includes basic obedience commands, especially if your pet is a dog.    
Do not put unhealthy food in your pet's cage. 
Let your parents know right away if you notice anything, as they can then take your pet to the vet and get your pet examined.    ","If you are younger than 10 years old, you may need help lifting and pouring water into your pet ’s water dish. 
.This means picking up any food that falls out of their food bowl and wiping up any water around their water dish so their feeding area is clean. 
.You may help your parents bathe your pet or bathe your pet yourself. 
.Do not try to bath other pets like a rabbit, a bird, a hamster or a cat. 
.If your pet is a dog, you should check your pet for fleas or ticks on a daily basis. 
"
"Relocating your pet to a home with canines or young children can be stressful and dangerous for your pet. 
If your pet will be at a kennel that also houses dogs and cats, it is best if it will be housed in a separate area. ","Create a document that outlines the feeding and water needs, cleaning schedule, and temperature control. 
.If the cage is not mobile, someone will need to come check on your pet daily.   
.If your pet will be at a kennel that also houses dogs and cats, it is best if it will be housed in a separate area. 
.Ask your veterinarian about boarding options for this type of pet. 
"
"Just open your heart and let it spill. 
Let her know that you find her special and that you would like a chance to get to know her better.   
, You just want to let her know how you feel. ","Even if it sounds weird on paper, you can always change it later. 
.Let her know that you find her special and that you would like a chance to get to know her better.   
.“ Your smile is like a sunrise that welcomes a wonderful day ” are ideas of how to make your letter stand out. 
"
";, Having a well - balanced diet is one of the most important parts of maintaining a generally healthy body. 
Lean protein sources are low in fat and calories. 
Try making more of your grain choices whole.    ","Without a balanced diet, it'll be very difficult to maintain proper health. 
.In addition, you should consume a variety of foods within each food group. 
.Following the appropriate portion sizes of each food group : 3 - 4 oz ( card deck sized ) of protein,1 cup vegetables or 2 cups leafy greens,1/2 cup chopped or one small piece of fruit, and 1 oz or 1/2 cup of grains. 
.Aim for three to four servings of protein daily, five to nine servings of fruits and vegetables, and three to four servings of grains ( 1/2 being whole ). 
.It will provide the building blocks for many functions of your body including maintaining lean muscle mass, rebuilding cells and supporting your immune system. 
"
"Make a tea from rose hips. 
Make a paste using the tea and paprika and apply it to hair. 
Mix beet and carrot juice together in equal parts. ","Brew rose hips in boiling water. 
.You might find it helpful to use an applicator brush. 
.Leave the paste on hair for at least 30 minutes then rinse.   
.Mix beet and carrot juice together in equal parts. 
"
"Breathe through your nose if possible, and empty your mind. ","Wear good pyjamas, fluff your pillows, take a long bath. 
.Breathe through your nose if possible, and empty your mind. 
.Get a clear, vivid image in your head. 
.Arrange it into a small clip in your mind, and play it several times, focusing on keeping calm. ,
"
"However, you can also get some tools and build a toy that involves all the bells and whistles of a store - bought toy. 
There are even some toys that play the laser game with the cat. 
This will give the cat something to work out while you're gone, and give it a nice treat, too. ",", You do n’t want to come home to a vet emergency because your cat has swallowed something that will make it sick. 
.Your best bet is to check any warnings on the packaging to see if they recommend against unsupervised play. 
.The cat can bat toy mice or little balls across the room and then chase them. 
.This will help the cat live out its natural prey drive, and keep it entertained when it's home alone. 
.This will give the cat something to work out while you're gone, and give it a nice treat, too. 
"
"If the kittens are wet, they ’re at a greater risk of developing hypothermia. 
, If a kitten is chilled, you ’ll need to warm it promptly but gradually. 
Hold it against your bare skin and periodically rub it with your hands to raise its temperature slowly. ","Make sure the air stream is n’t hot and avoid blowing the kitten ’s face. 
.Touch the kittens ’ ears, inside their mouths, and the pads of their feet. 
.If possible, have someone put a towel in the dryer on low heat for 10 minutes while you hold the kitten. 
.Avoid submerging the kitten in hot water or taking any other measures to warm it too quickly.   
.Feeding a kitten with a temperature less than 90 degrees Fahrenheit ( 32.2 degrees Celsius ) can be life - threatening. 
"
"Just make sure that the cat can easily get down from any of these spaces. 
You can build a cat castle by taping or stapling cardboard boxes together and cutting out holes for the cat to climb through. 
, If you have breakable items that you value, you may want to have a closed - in curio to display them, so that your cat wo n’t knock them over. ",", This is a great way to keep a cat busy. 
.Scratching posts may not completely resolve that problem, but it will mostly likely help. 
., The volume should n't be turned up too high, but at normal speaking level. 
.This will help keep a cat entertained with the movement on the screen. 
.Leave it on repeat so that the cat has music all day long. 
"
"You ’ll want to make sure that there is no space around the catio for the cat to escape. 
Letting the cat go for a test run while you ’re home will allow you to see if there are any problems that could arise while you ’re gone. ","Many places have design plans you can buy, as well as pre - designed catios that you simple have to install. 
.You can always make the base cushy, once you have the basic support. 
.When you have your catio, install it in the window. 
.You ’ll want to make sure that there is no space around the catio for the cat to escape. 
., Make sure there are no cat - sized spaces for the cat to escape. 
"
